01: nop                   - do nothing
59: bge reg1, num2, num3  - branch at num3 if reg1 >= num2 (signed compare)
5A: ble reg1, reg2, reg3  - branch at reg3 if reg1 <= reg2 (signed compare)
5B: ble reg1, reg2, num3  - branch at num3 if reg1 <= reg2 (signed compare)
5C: ble reg1, num2, reg3  - branch at reg3 if reg1 <= num2 (signed compare)
5D: ble reg1, num2, num3  - branch at num3 if reg1 <= num2 (signed compare)
5E: call reg1             - call function at reg1
5F: call num1             - call function at num1
60: ret                   - return from function
61: in reg1               - get terminal input (using scanf) and write to reg1
62: out reg1              - print reg1 to terminal
63: dump                  - dump everything for debug
